"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Maltese","mlt","mlt","‘smooth’","yes","Google","35.92","14.42","Semitic","West Semitic","Europe","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Tagalog (Filipino)","tgl","tgl","‘smooth’","no","Google","15","121","Austronesian","Malayo-Polynesian","Oceania","S/SE Asia","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Turkish","tur","tur","‘smooth’","yes","Google","39","35","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Uzbek","uzb","uzn","‘smooth’","no","Google","39","66","Turkic","Common Turkic","Inner Asia","N-C Asia","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Vietnamese","vie","vie","‘smooth’","no","Google","10.5","106.5","Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia","-6.9","FALSE","no rhotic","TRUE","FALSE","‘smooth’"
"Wangkayutyuru","wnm","wnm","‘smooth’","no","Chirila","-24.002308760426","138.810669515572","Pama-Nyungan","Karnic","S Australia","Australia","-6.9","FALSE","no trill","TRUE","TRUE","‘smooth’"
"Gupapuyngu","guf","guf","‘smooth’","yes","Chirila","-12.7172575311146","135.881905548684","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Gupapuyngu","guf","guf","‘smooth’","yes","Chirila","-12.7172575311146","135.881905548684","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Gupapuyngu","guf","guf","‘smooth’","yes","Chirila","-12.7172575311146","135.881905548684","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","trill","TRUE","TRUE","‘smooth’"
"Djinang","dji","dji","‘smooth’","yes","Chirila","-12.4755965383746","135.014277500395","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","NA","FALSE","TRUE","‘smooth’"
"Djinang","dji","dji","‘smooth’","yes","Chirila","-12.4755965383746","135.014277500395","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","NA","FALSE","FALSE","‘smooth’"
"Adnyamathanha","adt","adt","‘smooth’","yes","Chirila","-30.8371413465785","139.121539735715","Pama-Nyungan","Southwestern Pama-Nyungan","S Australia","Australia","-6.9","FALSE","NA","TRUE","FALSE","‘smooth’"
"Woiwurrung","wyi","wyi","‘smooth’","yes","Chirila","-37.6426450056995","145.587996182057","Pama-Nyungan","Kulinic","S Australia","Australia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Woiwurrung","wyi","wyi","‘smooth’","yes","Chirila","-37.6426450056995","145.587996182057","Pama-Nyungan","Kulinic","S Australia","Australia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Wulguru","qgu","qgu","‘smooth’","no","Chirila","-19.851031211527","146.34539568745","Pama-Nyungan","Dyirbalic","S Australia","Australia","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Bidjara-Gungabula","gyy","gyy","‘smooth’","yes","Chirila","-25.5430434048749","147.835573303012","Pama-Nyungan","Maric","S Australia","Australia","-6.9","FALSE","NA","FALSE","FALSE","‘smooth’"
"Ng'goi Mwoi","NA","NA","‘smooth’","yes","Chirila","-28.163998","152.801352","Pama-Nyungan","Bandjalangic","S Australia","Australia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Yidiny","yii","yii","‘smooth’","yes","Chirila","-17.1159442218031","145.773681359603","Pama-Nyungan","Yidinyic","N Australia","Australia","-6.9","FALSE","mixed with trill","FALSE","TRUE","‘smooth’"
"Warrnambool","gjm","gjm","‘smooth’","no","Chirila","-38.345","142.4608","Pama-Nyungan","Kulinic","S Australia","Australia","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Warrnambool","gjm","gjm","‘smooth’","no","Chirila","-38.345","142.4608","Pama-Nyungan","Kulinic","S Australia","Australia","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Yuwaaliyaay","kld","kld","‘smooth’","yes","Chirila","-29.8429112214478","149.806501013693","Pama-Nyungan","Wiraduric","S Australia","Australia","-6.9","FALSE","NA","FALSE","FALSE","‘smooth’"
"Bardi","bcj","bcj","‘smooth’","yes","Chirila","-16.5030267809473","122.933157708141","Nyulnyulan","NA","N Australia","Australia","-6.9","FALSE","mixed with trill","FALSE","TRUE","‘smooth’"
"Guugu-Yimidhirr","kky","kky","‘smooth’","no","Chirila","-15.1606104905737","144.990484849693","Pama-Nyungan","Guugu Yimidhirr","N Australia","Australia","-6.9","FALSE","NA","FALSE","FALSE","‘smooth’"
"Burarra","bvr","bvr","‘smooth’","no","Chirila","-12.0233468453427","134.719514799426","Burraran","NA","N Australia","Australia","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Djapu","duj","duj","‘smooth’","yes","Chirila","-12.6176191133888","136.25657683194","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","mixed with trill","FALSE","TRUE","‘smooth’"
"Gupapuyngu","guf","guf","‘smooth’","yes","Chirila","-12.7172575311146","135.881905548684","Pama-Nyungan","Yolngu","N Australia","Australia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Wangkayutyuru","wnm","wnm","‘smooth’","no","Chirila","-24.002308760426","138.810669515572","Pama-Nyungan","Karnic","S Australia","Australia","-6.9","FALSE","no trill","TRUE","TRUE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Gbaya","gbp","gbp","‘smooth’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Maʼdi","mhi","mhi","‘smooth’","yes","Reflex","3.25","31.5","Eastern Central Sudanic","Moru-Madi","S Africa","Africa","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Timne","tem","tem","‘smooth’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Timne","tem","tem","‘smooth’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Timne","tem","tem","‘smooth’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Timne","tem","tem","‘smooth’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Kabiyè","kbp","kbp","‘smooth’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Kabiyè","kbp","kbp","‘smooth’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Kabiyè","kbp","kbp","‘smooth’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Kabiyè","kbp","kbp","‘smooth’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Kabiyè","kbp","kbp","‘smooth’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Mandinka","mnk","mnk","‘smooth’","yes","Reflex","15","-15.67","Mande","West Mande","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Lezgian","lez","NA","‘smooth’","yes","CLICS","41.553811","48.038979","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Abkhaz","abk","NA","‘smooth’","yes","CLICS","42.999497","41.017252","West Caucasian","Abkhazian-Ubykh","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Laz","lzz","lzz","‘smooth’","no","CLICS","41.462154","41.569662","Kartvelian","Georgian-Zan","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Megrelian","xmf","xmf","‘smooth’","yes","CLICS","42.373764","41.937332","Kartvelian","Georgian-Zan","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Kamayurá","kay","kay","‘smooth’","no","CLICS","-11.955425148","-53.300745001","Tupian","Tupi-Guaran�_","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Chepang","cdm","cdm","‘smooth’","yes","CLICS","27.7206","84.9017","Sino-Tibetan","Remnant Himalayish","Indic","S/SE Asia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Gurung","ggn; gvr","NA","‘smooth’","yes","CLICS","27.41687","86.28988","Sino-Tibetan","Bodic","Indic","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Khaling","klr","NA","‘smooth’","yes","CLICS","27.3912","87.5053","Sino-Tibetan","Kiranti","Indic","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Magar","mgp","NA","‘smooth’","no","CLICS","28.83","83.59","Sino-Tibetan","Remnant Himalayish","Indic","S/SE Asia","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Sunwar","suz","NA","‘smooth’","yes","CLICS","27.5201","86.2476","Sino-Tibetan","Kiranti","Indic","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Tamang (Sahu)","taj","taj","‘smooth’","yes","CLICS","28.0239","85.0563","Sino-Tibetan","Bodic","Indic","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Bambara","bam","bam","‘smooth’","no","CLICS","14.53","-4.1","Mande","West Mande","African Savannah","Africa","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Bangime","dba","NA","‘smooth’","no","CLICS","14.8","-3.76","Bangime","NA","African Savannah","Africa","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Bunoge","dgb","NA","‘smooth’","no","CLICS","14.65","-3.79","Dogon","NA","African Savannah","Africa","-6.9","FALSE","no trill","TRUE","TRUE","‘smooth’"
"Fulfulde","ffm","ffm","‘smooth’","yes","CLICS","14.8","-3.84","North Atlantic","NA","African Savannah","Africa","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Jamsay","djm","djm","‘smooth’","yes","CLICS","14.64","-3.1","Dogon","NA","African Savannah","Africa","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Tebul_Ure","dtu","NA","‘smooth’","yes","CLICS","14.69","-3.11","Dogon","NA","African Savannah","Africa","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Togo_Kan","dtm","NA","‘smooth’","no","CLICS","14.16","-3.38","Dogon","NA","African Savannah","Africa","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Tommo_So","dto","NA","‘smooth’","no","CLICS","14.67","-3.51","Dogon","NA","African Savannah","Africa","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Kamsá","kbh","kbh","‘smooth’","no","CLICS","1.14537","-76.8931","Cams��","NA","Andean","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Achagua","aca","aca","‘smooth’","no","CLICS","4.38649","-72.2005","Arawakan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Achagua","aca","aca","‘smooth’","no","CLICS","4.38649","-72.2005","Arawakan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Awa","kwi","kwi","‘smooth’","no","CLICS","1.21652","-78.3401","Barbacoan","NA","Andean","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Bora","boa","boa","‘smooth’","no","CLICS","-2.91467","-68.9093","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Bora","boa","boa","‘smooth’","no","CLICS","-2.91467","-68.9093","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Bora","boa","boa","‘smooth’","no","CLICS","-2.91467","-68.9093","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Bora","boa","boa","‘smooth’","no","CLICS","-2.91467","-68.9093","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Barí","mot","mot","‘smooth’","yes","CLICS","9.08497","-72.9353","Chibchan","NA","NE South America","S America","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Bará","bao","bao","‘smooth’","no","CLICS","0.30416","-70.1644","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Guahibo","guh","guh","‘smooth’","yes","CLICS","5.81736","-68.9839","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Guahibo","guh","guh","‘smooth’","yes","CLICS","5.81736","-68.9839","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Guahibo","guh","guh","‘smooth’","yes","CLICS","5.81736","-68.9839","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Guahibo","guh","guh","‘smooth’","yes","CLICS","5.81736","-68.9839","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Barasana","bsn","bsn","‘smooth’","no","CLICS","0.02193","-70.808","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Guambiano","gum","gum","‘smooth’","no","CLICS","2.55849","-76.582","Barbacoan","NA","Andean","S America","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Macuna","myy","myy","‘smooth’","no","CLICS","-0.14459","-70.0749","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Chimila","cbg","cbg","‘smooth’","no","CLICS","10.1902","-74.2559","Chibchan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Guayabero","guo","guo","‘smooth’","no","CLICS","2.8969","-71.844","Guahiboan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Carapana","cbc","cbc","‘smooth’","yes","CLICS","0.06168","-69.6465","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Carapana","cbc","cbc","‘smooth’","yes","CLICS","0.06168","-69.6465","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Curripaco","kpc","kpc","‘smooth’","no","CLICS","0.69618","-67.5028","Arawakan","North Amazonian","NE South America","S America","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Ika","arh","arh","‘smooth’","no","CLICS","10.7018","-73.6363","Chibchan","Chibchan","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Catío","cto","cto","‘smooth’","yes","CLICS","7.52721","-76.7476","Choc�_","NA","Andean","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Cubeo","cub","cub","‘smooth’","no","CLICS","1.32382","-70.1939","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Muinane","bmr","bmr","‘smooth’","no","CLICS","-0.8652","-72.4249","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Muinane","bmr","bmr","‘smooth’","no","CLICS","-0.8652","-72.4249","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Muinane","bmr","bmr","‘smooth’","no","CLICS","-0.8652","-72.4249","Boran","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Inga","inb","inb","‘smooth’","no","CLICS","1.00313","-76.8606","Quechuan","NA","Andean","S America","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Nukak","mbr","mbr","‘smooth’","no","CLICS","2.65939","-71.4629","Kakua-Nukak","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Jitnu","mbn","mbn","‘smooth’","no","CLICS","6.34582","-71.2671","Guahiboan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Koreguaje","coe","coe","‘smooth’","no","CLICS","0.92316","-75.3475","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Páez","pbb","pbb","‘smooth’","no","CLICS","2.61516","-76.3125","Paesan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Páez","pbb","pbb","‘smooth’","no","CLICS","2.61516","-76.3125","Paesan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Witoto Mi̵ni̵ca","hto","hto","‘smooth’","no","CLICS","-1.54535","-73.1107","Witotoan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Witoto Ni̵pode","hux","NA","‘smooth’","no","CLICS","-2.34495","-70.9559","Witotoan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Piratapuyo","pir","pir","‘smooth’","no","CLICS","0.50714","-69.5032","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Playero","gob","NA","‘smooth’","yes","CLICS","6.90948","-71.0036","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Playero","gob","NA","‘smooth’","yes","CLICS","6.90948","-71.0036","Guahiboan","NA","NE South America","S America","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Witoto Murui","huu","huu","‘smooth’","no","CLICS","-1.13669","-73.8331","Witotoan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Ocaina","oca","oca","‘smooth’","no","CLICS","-2.159","-72.1422","Witotoan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Siriano","sri","sri","‘smooth’","no","CLICS","0.436515","-70.184","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Tatuyo","tav","tav","‘smooth’","no","CLICS","0.55582","-70.5327","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Tucano","tuo","tuo","‘smooth’","no","CLICS","0.579755","-69.5763","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Tanimuca","tnc","tnc","‘smooth’","no","CLICS","-0.59023","-70.3853","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Tunebo Central","tuf","tuf","‘smooth’","yes","CLICS","6.8867","-72.097","Chibchan","NA","NE South America","S America","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Tariano","tae","tae","‘smooth’","no","CLICS","0.440205","-68.9042","Arawakan","North Amazonian","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Totoró","ttk","NA","‘smooth’","yes","CLICS","2.55149","-76.6379","Barbacoan","NA","Andean","S America","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Tuyuca","tue","tue","‘smooth’","no","CLICS","0.39441","-70.043515","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Wanano","gvc","gvc","‘smooth’","no","CLICS","1.07554","-69.5705","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Yucuna","ycn","ycn","‘smooth’","no","CLICS","-0.76075","-71.0033","Arawakan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","TRUE","‘smooth’"
"Yukpa","yup","yup","‘smooth’","no","CLICS","9.67534","-73.0557","Cariban","NA","NE South America","S America","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Yurutí","yui","yui","‘smooth’","no","CLICS","0.735585","-69.6955","Tuc��noan","NA","NE South America","S America","-6.9","FALSE","no trill","FALSE","FALSE","‘smooth’"
"Andi","ani","NA","‘smooth’","yes","CLICS","42.8078","46.2919","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Akhvakh (Northern dialect)","akv","NA","‘smooth’","yes","CLICS","42.4003","46.3037","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Akhvakh (Northern dialect)","akv","NA","‘smooth’","yes","CLICS","42.4003","46.3037","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Akhvakh (Northern dialect)","akv","NA","‘smooth’","yes","CLICS","42.4003","46.3037","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Karata","kpt","NA","‘smooth’","yes","CLICS","42.6501","46.3151","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Khwarshi (Khwarshi dialect)","khv","NA","‘smooth’","yes","CLICS","42.25","46.17","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Hinuq","gin","NA","‘smooth’","yes","CLICS","42.4502","45.8064","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Chamalal","cji","NA","‘smooth’","yes","CLICS","42.5024","45.995","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Hunzib","huz","NA","‘smooth’","yes","CLICS","42.0808","46.1369","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Lak","lbe","lbe","‘smooth’","yes","CLICS","42.1328","47.0809","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Dargwa","dar","NA","‘smooth’","yes","CLICS","42.4257","47.4388","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Dargwa","dar","NA","‘smooth’","yes","CLICS","42.4257","47.4388","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Aghul","agx","NA","‘smooth’","yes","CLICS","41.9242","47.5843","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Lezgian","lez","NA","‘smooth’","yes","CLICS","41.5157","47.8951","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Rutul","rut","rut","‘smooth’","yes","CLICS","41.6187","47.3244","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Tabasaran (Southern dialect)","tab","NA","‘smooth’","yes","CLICS","41.83","47.92","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Khinalug","kjj","NA","‘smooth’","yes","CLICS","41.1801","48.0571","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Khinalug","kjj","NA","‘smooth’","yes","CLICS","41.1801","48.0571","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Tsakhur","tkr","NA","‘smooth’","yes","CLICS","41.5916","46.8858","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Kumyk","kum","NA","‘smooth’","yes","CLICS","43","47","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Kumyk","kum","NA","‘smooth’","yes","CLICS","43","47","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","FALSE","‘smooth’"
"Chechen","che","che","‘smooth’","yes","CLICS","43.5","45.5","Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Udi","udi","NA","‘smooth’","yes","CLICS","40.9","47.7236","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","TRUE","FALSE","‘smooth’"
"Avar","ava","ava","‘smooth’","no","CLICS","41.7047","46.558","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
