"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Bulang","blr","blr","‘rough’","yes","CLICS","22.0092","99.7405","Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Bulang","blr","blr","‘rough’","yes","CLICS","22.0092","99.7405","Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Wa","wbm","wbm","‘rough’","yes","CLICS","23.1024","99.108","Austroasiatic","NA","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Mlabri","mra","mra","‘rough’","yes","CLICS","18.5533","101.163","Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Ahlao Th","thm","thm","‘rough’","no","CLICS","17.7655","104.229","Austroasiatic","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Nyakur","cbn","cbn","‘rough’","no","CLICS","15.8909","101.515","Austroasiatic","Southern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Samre","sxm","sxm","‘rough’","no","CLICS","12.243","103.139","Austroasiatic","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Chong","cog","cog","‘rough’","yes","CLICS","12.5218","102.514","Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Surin Khmer","khm","khm","‘rough’","no","CLICS","12.5","105","Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Angami Kohima","njm","njm","‘rough’","no","CLICS","25.55","94.1333","Sino-Tibetan","Angami-Pochuri Group","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Dimasa","dis","NA","‘rough’","yes","CLICS","25.42","93.18","Sino-Tibetan","Brahmaputran (Sal)","Indic","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Jingpho","kac","kac","‘rough’","no","CLICS","25.461826","97.329866","Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Jingpho","kac","kac","‘rough’","no","CLICS","25.461826","97.329866","Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Lushai","lus","lus","‘rough’","no","CLICS","22.60535","92.629457","Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Lushai","lus","lus","‘rough’","no","CLICS","22.60535","92.629457","Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Mao","nbi","nbi","‘rough’","yes","CLICS","25.4667","94.1167","Sino-Tibetan","Angami-Pochuri Group","Southeast Asia","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Manipuri","mni","mni","‘rough’","yes","CLICS","24.44","93.34","Sino-Tibetan","NA","Southeast Asia","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Mikir","mjw","mjw","‘rough’","yes","CLICS","25.735084","93.050494","Sino-Tibetan","NA","Indic","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Sangtam","nsa","NA","‘rough’","no","CLICS","25.0667","94.8667","Sino-Tibetan","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Abui","abz","NA","‘rough’","yes","CLICS","-8.31058","124.588","Timor-Alor-Pantar","Alor-Pantar","N Coast New Guinea","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Blagar","beu","NA","‘rough’","yes","CLICS","-8.31787","124.251","Timor-Alor-Pantar","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Kamang","woi","woi","‘rough’","yes","CLICS","-8.26897","124.792","Timor-Alor-Pantar","Alor-Pantar","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Wersing","kvw","NA","‘rough’","yes","CLICS","-8.33936","124.932","Timor-Alor-Pantar","Alor-Pantar","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Kaera","jka","NA","‘rough’","yes","CLICS","-8.3287","124.0177","Timor-Alor-Pantar","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Western Pantar","lev","NA","‘rough’","yes","CLICS","-8.52787","124.057","Timor-Alor-Pantar","Alor-Pantar","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Adang","adn","adn","‘rough’","yes","CLICS","-8.18958","124.448","Timor-Alor-Pantar","Alor-Pantar","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Swahili","swa","swh","‘rough’","yes","CLICS","-6.5","39","Benue-Congo","Bantoid","S Africa","Africa","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Iraqw","irk","irk","‘rough’","no","CLICS","-4","35.5","Cushitic","Southern Cushitic","S Africa","Africa","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Tarifiyt Berber","rif","rif","‘rough’","yes","CLICS","34.5","-4","Berber","NA","N Africa","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Bezhta","kap","NA","‘rough’","yes","CLICS","42.0833","46.1667","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Archi","aqc","aqc","‘rough’","no","CLICS","42","46.8333","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Sakha","sah","sah","‘rough’","yes","CLICS","62","130","Turkic","Common Turkic","Inner Asia","N-C Asia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Japanese","jpn","jpn","‘rough’","no","CLICS","37","140","Japanese","NA","N Coast Asia","N-C Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Japanese","jpn","jpn","‘rough’","no","CLICS","37","140","Japanese","NA","N Coast Asia","N-C Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Japanese","jpn","jpn","‘rough’","no","CLICS","37","140","Japanese","NA","N Coast Asia","N-C Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Thai","tha","tha","‘rough’","no","CLICS","16","101","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Malagasy","mlg","plt","‘rough’","yes","CLICS","-20","47","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Malagasy","mlg","plt","‘rough’","yes","CLICS","-20","47","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Yaqui","yaq","yaq","‘rough’","no","CLICS","27.5","-110.25","Uto-Aztecan","Southern Uto-Aztecan","Mesoamerica","C America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Zinacantán Tzotzil","tzo","tzo","‘rough’","yes","CLICS","16.8333","-92.8333","Mayan","NA","Mesoamerica","C America","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Otomi","ote","ote","‘rough’","no","CLICS","20.1667","-98.8333","Otomanguean","Otomian","Mesoamerica","C America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Kali'na","car","car","‘rough’","no","CLICS","5.5","-56","Cariban","NA","NE South America","S America","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Bunak, Bobonaro","bfn","NA","‘rough’","yes","CLICS","-9.033683","125.323406","Timor-Alor-Pantar","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Dhao","nfa","NA","‘rough’","yes","CLICS","-10.816034","122.66431","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Dhao","nfa","NA","‘rough’","yes","CLICS","-10.816034","122.66431","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Fataluku","ddg","NA","‘rough’","yes","CLICS","-8.4394","126.9821","Timor-Alor-Pantar","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Kaera","jka","NA","‘rough’","yes","CLICS","-8.4047","124.2175","Timor-Alor-Pantar","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kedang, Leubatang","ksx","NA","‘rough’","yes","CLICS","-8.322779","123.717692","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Kotos Amarasi","aaz","NA","‘rough’","yes","CLICS","-10.243786","123.872438","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Adonara Lamaholot","slp","NA","‘rough’","yes","CLICS","-8.3757","123.2375","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Central Lembata, Kalikasa","lvu","NA","‘rough’","yes","CLICS","-8.463","123.4798","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Lio","ljl","NA","‘rough’","yes","CLICS","-8.69","121.84","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Makasae","mkz","NA","‘rough’","no","CLICS","-8.548563","126.505903","Timor-Alor-Pantar","Timor-Kisar","Oceania","NG and Oceania","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
